puzzle_id,prompt_style,book_move,generated_move,topprob_move,recoverability_predicted_move,explanation_matches_generated,explanation_matches_topprob,explanation_matches_book,generated_matches_topprob,generated_matches_book,topprob_matches_book
itDJv,brief,g2f1,d5c6,d5c6,d5c6,True,True,False,True,False,False
WWNuA,brief,h7h8,e2e1,h7h8,b4b3,False,False,False,False,False,True
27mZU,brief,b4e1,d4d3,b4c5,d4d3,True,False,False,False,False,False
GjeRT,brief,g4f3,e1e5,e8d8,e8e5,False,False,False,False,False,False
vDBk4,brief,b7b5,c5c4,b7b5,a5a4,False,False,False,False,False,True
dZAWw,brief,b8b6,f7f4,g8h8,f5f4,False,False,False,False,False,False
QwfQg,brief,e2e4,e2e8,e2e4,e2e8,True,False,False,False,False,True
qddOZ,brief,d4c5,d4f2,g7g6,d4f4,False,False,False,False,False,False
LQ1DK,brief,e6e5,e6e5,e6e5,h4h3,False,False,False,True,True,True
Aveae,brief,e6e5,c6c5,e6e5,d5d4,False,False,False,False,False,True
Uvvcu,brief,c7c8q,d7d8q,d7d8,d7d8q,True,False,False,False,False,False
ki2l1,brief,c2c5,f4f3,c2c5,c1c2,False,False,False,False,False,True
MJWFH,brief,b5b4,d4c3,d4c3,d4d3,False,False,False,True,False,False
DdeT2,brief,b4b3,d2d1,g8g7,d2d1q,False,False,False,False,False,False
T3WAo,brief,g7b7,d6d7,g7g8,d6d7,True,False,False,False,False,False
T1Yv7,brief,c4b5,c4c3,c4d5,c3c2,False,False,False,False,False,False
p2RG8,brief,a5b4,a7a8q,e3c4,,False,False,False,False,False,False
gXW2k,brief,b3b2,c3c2,c3c4,c3c2,True,False,False,False,False,False
xQNjx,brief,e3h3,e3e6,e7e8,e3c3,False,False,False,False,False,False
shDt9,brief,f5f6,f5f6,f4e5,f6f7,False,False,False,False,True,False
y4vck,brief,f3e4,g6g7,f3e4,h6h7,False,False,False,False,False,True
mWLmD,brief,g4d1,g3h2,b5b4,a4a3,False,False,False,False,False,False
TbN5O,brief,d3e5,d3c5,g7g5,d3d4,False,False,False,False,False,False
vJaUr,brief,b3b8,b2b1q,a8a7,b2b1q,True,False,False,False,False,False
ayVZn,brief,d7c6,a6a5,d7d8,a6a5,True,False,False,False,False,False
Jvi0t,brief,g5g4,f3e4,g5g4,f3d4,False,False,False,False,False,True
ON7OP,brief,b4b5,b4b5,b4b5,b5b6,False,False,False,True,True,True
LIlmt,brief,c2b1,c2d3,c5d4,c2c3,False,False,False,False,False,False
Twkjy,brief,e4e3,e3e2,b7b6,e3e2,True,False,False,False,False,False
bKS8S,brief,c6f6,c6c5,e8e5,c6c5,True,False,False,False,False,False
b5fDe,brief,h7h6,e7e6,e7e8,c5c4,False,False,False,False,False,False
kQy45,brief,f3f2,f3f6,f3f2,f3f6,True,False,False,False,False,True
UztgU,brief,g8f7,a1a4,g8h8,a2a1q,False,False,False,False,False,False
8sE0T,brief,d7c6,d2d7,d7d8,d2d7,True,False,False,False,False,False
nJvGB,brief,f3g4,f4f5,f3e2,a4a5,False,False,False,False,False,False
6uPrP,brief,e4d3,e4d3,e4e5,e4e3,False,False,False,False,True,False
2jYi7,brief,d5d4,d5d4,d5d4,d5d4,True,True,True,True,True,True
L9eN5,brief,d3c3,,d3c3,,False,False,False,False,False,True
SX2rv,brief,f6g5,e5e4,g7g6,e5e4,True,False,False,False,False,False
ELuQg,brief,f8e7,f7f6,g7g6,c5c4,False,False,False,False,False,False
dtp9f,brief,c2g6,c2c3,e7e6,c3c4,False,False,False,False,False,False
i10NI,brief,b3a4,c4c5,f2f3,c4c5,True,False,False,False,False,False
k8YpU,brief,e5e4,d2d3,e7e8,d2d3,True,False,False,False,False,False
ncaqo,brief,g5g6,g5g4,g7g8,g5g4,True,False,False,False,False,False
w1v9S,brief,d5d6,d5d6,d5d6,d6d7,False,False,False,True,True,True
VYJU3,brief,d3a6,b6b7,d3e4,a6a7,False,False,False,False,False,False
3P3lL,brief,h2h4,b3b4,h2h4,b3b4,True,False,False,False,False,True
URiVe,brief,b1b4,b5b7,b5c6,g2g4,False,False,False,False,False,False
tyrhq,brief,e7d7,e7d7,c8d8,e7d7,True,False,True,False,True,False
SbvGn,brief,d5e4,e5e6,d5d4,e5e6,True,False,False,False,False,False
PfZob,brief,f7e7,f7f6,h2h4,f7f6,True,False,False,False,False,False
HyQm3,brief,f3f2,g2g1q,g2g3,g2g1q,True,False,False,False,False,False
Da4qD,brief,e6d6,f3f2,e6e5,f3f2,True,False,False,False,False,False
Ftwet,brief,d7b6,d7e5,d7f6,d7e5,True,False,False,False,False,False
zDoiQ,brief,g7g8,a2a1q,g7g8,b2b1q,False,False,False,False,False,True
kIjcJ,brief,a7a5,d2d3,e8g8,d2d1,False,False,False,False,False,False
vOyHq,brief,f3e4,f4e3,f3e4,f3c6,False,False,False,False,False,True
apctn,brief,g7g6,,g7g6,,False,False,False,False,False,True
5Zepl,brief,e6e7,c1c8,h2h3,c1c3,False,False,False,False,False,False
gYZU2,brief,a7b8,a7a6,a7a8,a7a6,True,False,False,False,False,False
yIzoA,brief,d1d2,d6d7,d1d2,d7d6,False,False,False,False,False,True
U8IpH,brief,a8h8,a7a8q,a8e8,a7a8q,True,False,False,False,False,False
ZHIgj,brief,d7e7,h4h3,d7d8,h5h3,False,False,False,False,False,False
E04eO,brief,e1e2,f4f7,e1e2,f4f8,False,False,False,False,False,True
77KFr,brief,b5c6,a5a4,h6h5,a5a4,True,False,False,False,False,False
GKpUv,brief,a8b8,b4b2,a8e8,a2a1,False,False,False,False,False,False
R2Ztu,brief,g1f1,g4g5,g1f1,g4g7,False,False,False,False,False,True
HbVvI,brief,a1c1,a3a4,f1c1,b4b5,False,False,False,False,False,False
Vpdi7,brief,g3h4,a7a8q,f2f3,g4g5q,False,False,False,False,False,False
zDwOn,brief,b3b4,a5a6,a5a6,b4b5,False,False,False,True,False,False
4cNfD,brief,d7d3,d1d2,d7d8,d1d2,True,False,False,False,False,False
wjcCS,brief,f7e7,a7a6,g7g5,a7a6,True,False,False,False,False,False
v97Y0,brief,d7c7,d7c7,d7d8,d7c7,True,False,True,False,True,False
Lc4KS,brief,g4h4,g4g5,g4g5,g4g3,False,False,False,True,False,False
zIti8,brief,a8c8,,d8d7,,False,False,False,False,False,False
Hc1jN,brief,c8f8,e2e3,c8d8,e2e5,False,False,False,False,False,False
l5PeI,brief,e6d7,e5d4,e6f5,d4c5,False,False,False,False,False,False
mQQu4,brief,d5f5,d5d4,g8h8,d5d4,True,False,False,False,False,False
iXiDq,brief,d4d5,d4d5,d4d5,d4d5,True,True,True,True,True,True
2hEbU,brief,e7f8,e7e6,e7e6,a6a5,False,False,False,True,False,False
vwqN0,brief,a3a1,a4a3,e1d1,a4a3,True,False,False,False,False,False
xADUV,brief,f6b6,f6f3,g7g8,f5f4,False,False,False,False,False,False
vprZK,brief,e8e7,f5f2,e8e7,,False,False,False,False,False,True
HdZlB,brief,g4g2,d7d5,h7h6,d4d3,False,False,False,False,False,False
CIW0X,brief,b6b5,b7b6,b7a6,b6b5,False,False,True,False,False,False
LSmFL,brief,g6g7,g7g8q,e4d4,g7g8q,True,False,False,False,False,False
Sgwr0,brief,e3h3,f6f5,e3a3,f5f4,False,False,False,False,False,False
Lphsj,brief,b3b4,,h1h2,,False,False,False,False,False,False
NT8FO,brief,f5e5,d5d4,f5e5,d5d4,True,False,False,False,False,True
utUIY,brief,f8c5,f7f6,f8e8,f8f6,False,False,False,False,False,False
aevnG,brief,b2c3,e6e7,b2c3,e6e7,True,False,False,False,False,True
r255J,brief,c4c1,f4f3,g7g5,c4c1,False,False,True,False,False,False
CQDvs,brief,b5b6,a6a7,a6b6,a6a7,True,False,False,False,False,False
uSOnS,brief,a4a3,e3e2,e8h8,a4a3,False,False,True,False,False,False
gY8HY,brief,f4f3,g6g5,g6g7,g6g5,True,False,False,False,False,False
0qHfo,brief,b4b5,a7a8q,a7a8,a7a8q,True,False,False,False,False,False
LFQho,brief,a7a4,g4g7,a7a8,g4g7,True,False,False,False,False,False
qEHyk,brief,a1c1,e7e8q,e7e8,f7f8q,False,False,False,False,False,False
QfjW9,brief,f4e5,c6c7,d4e5,c6c7,True,False,False,False,False,False
PNSQk,brief,f8h7,f8g6,f8d7,f8e6,False,False,False,False,False,False
3Y23P,brief,f7f5,d6c7,d6c6,a5a4,False,False,False,False,False,False
PdqBL,brief,e7e6,a6a5,e7e6,f3f2,False,False,False,False,False,True
3Z3ab,brief,c1c7,f3f6,c1e1,f3f8,False,False,False,False,False,False
nU0Rx,brief,b2b4,e3e5,b2b4,e3d4,False,False,False,False,False,True
SNEgV,brief,g8h7,a4a3,g8h8,a4a3,True,False,False,False,False,False
QweDL,brief,e3f4,a5a6,e3d4,a5a6,True,False,False,False,False,False
r3V4r,brief,d3e3,d4d5,b2b3,d5d6,False,False,False,False,False,False
mej8x,brief,f8e8,c2c1,f8e8,c2c1q,False,False,False,False,False,True
HpXMS,brief,c4d4,c4c3,c4d4,d3d2,False,False,False,False,False,True
n2qbI,brief,a8c8,d7d6,h7h6,d7d5,False,False,False,False,False,False
