model,prompt,n,parsed_rate,legal_rate,exact_match_rate,avg_engine_delta_cp,avg_words,avg_specificity
gpt-4.1-mini,brief,200,0.97,0.535,0.08,11559.504672897196,44.38,0.20140875417078197
gpt-4.1-mini,calc,200,0.975,0.415,0.07,12364.240963855422,146.09,0.3206725204578588
gpt-4.1-mini,teaching,200,0.995,0.585,0.095,12304.290598290598,117.4,0.2046766661002412
llama-3.1-8b-instant,brief,200,0.96,0.015,0.005,66600.33333333333,47.245,0.2557737461596929
llama-3.1-8b-instant,calc,200,0.27,0.07,0.01,21781.571428571428,200.66,0.23135020751213067
llama-3.1-8b-instant,teaching,200,0.99,0.03,0.005,50084.5,194.13,0.2295862492812836
llama-3.3-70b-versatile,brief,200,0.25,0.045,0.0,22378.555555555555,36.795,0.13078838440292617
llama-3.3-70b-versatile,calc,200,0.63,0.1,0.01,5283.15,174.905,0.20920827000825107
llama-3.3-70b-versatile,teaching,200,0.555,0.06,0.005,16795.833333333332,162.795,0.14513379617963504
meta-llama/llama-4-scout-17b-16e-instruct,brief,200,0.73,0.1,0.005,20339.7,77.425,0.21015965615320023
meta-llama/llama-4-scout-17b-16e-instruct,calc,200,0.5,0.035,0.0,28948.428571428572,163.735,0.15124164183618355
meta-llama/llama-4-scout-17b-16e-instruct,teaching,200,0.85,0.045,0.0,11368.555555555555,195.7,0.20093147513191642
moonshotai/kimi-k2-instruct-0905,brief,200,0.86,0.505,0.08,14196.980198019803,47.115,0.44234494506622796
moonshotai/kimi-k2-instruct-0905,calc,200,0.88,0.52,0.06,13774.01923076923,125.66,0.4773543367238158
moonshotai/kimi-k2-instruct-0905,teaching,200,0.85,0.435,0.075,16461.954022988506,118.56,0.3185692488147094
qwen/qwen3-32b,brief,200,0.075,0.06,0.01,8571.166666666666,144.575,0.2638984853663513
qwen/qwen3-32b,calc,200,0.04,0.02,0.005,25397.5,138.41,0.2141492823004359
qwen/qwen3-32b,teaching,200,0.065,0.065,0.005,7983.076923076923,152.03,0.24403245500637466
